post,bully
your so hot you give me woooddddddddddddddddddddddddddd dont talk to me,1
your so hot you give me woooddddddddddddddddddddddddddd well dont talk to me please maybe go fall down a couple stairs,1
your so stupid you say your not pretty to people so they can be like oh your so pretty blah blah blah so can you stop i mean i totally agree with you your ugly as shit no worse than ugly as shit so go die hahahahaha lmfao okay,1
zip it dumpster baby can you get anymore lesbian hahahahaha actually i can D but wtf hahahaha,1
are you shemale no im a female haha who wrote this,1
i bet you are a NEMO STAR SHIT COW FAGGET lol well zobliviously i cant be them all you n00b lol,1
i heard youraped all kaylas cat then you killed and aet them for dinner is this ture lol check your spelling fool haha and while that is debatable yes lily was the best,1
ohhh you hoe how dare you you sock eating bitch lol jokes mmmmm socks,1
r u retarded P jking scientifically probs not but i would say yess lol S,1
u2584u2588u2580 u2588u2584 u2588u2584u2588 u2580u2588u2580 thank you but i am not a slut D you must have been really bored to send me shit like that D,1
Your lying to yourself if you think changing ur appearance and getting tattoos will make people not recognize how ugly you are on the inside enough said wow thats totally not what i was going for i dont want tattoos to change my appearance to hide anything thts definately not my goal at all and you think im ugly inside thank you i appreciate your opinion and your the only one who thinks that,1
how many times have you been fucked Elventy four r Jeez fuck offf,1
im a guy quot why cant we just fuck and get it over with girl quot Ha well uh alright good to knoww Who s this You re funny ha,1
No Stop fucking lying You used to smoke We ARE NOT STTUPPPIDDDDDDD I myself have smoked with yuu before Haha chill out r Yehh I used to I m kiddingg r Buut I don t anymore,1
oh get over yourself i dont look everyday it sends me an email every time you answer Never will Youuuu get over yourself stop trying to fuck freshman faggg Damnn,1
that wasnt me why would i say i love you Duuude why do you check my page dailyyy r You re Creeeepppyyyy Damn go back to your girlfriendd,1
Ur gunna get jumped U stupid bitch What the fuck,1
What was the worst concert you went to Martina McBride my step dad made me take my mom for Mother s Day It was fucking gayyy,1
who did you last go out with cameren loomen Uhhh nice spelling dumb ass r It s C A M E R O N L O O M A Nr What the hell Fucking idiot r Anyway no it was Layne Renyolds,1
why are you such a bitch whore cunt r i hate ur guts Lol miki I love you toooo,1
why cant we just fuck and get it over with girl God I really hope this is from ashley haha r Ashley What are you talking about we do all the time hahahaha r Someone else Cause I m straight hun Sorryyy,1
im better tthan youu haha shut up anthony you suck,1
Pshhhhhh you dont know shittt about MW2 Get on my level then maybe we apos ll talk Hahahaha Hahah I m a girl It s in our blood to suck at video games,1
do you eat ass keep it a buck wtf do you mean lol,1
don apos t call yourself shady that apos s my nickname BITCH DxP wat your the bitch as nigga that my name amp for not showin yourself was a bitch move you just hating,1
dont talk to rubinathy15 she is stupid huh i smell a hater lol,1
fagg hahahahaha you the fagg buddy lol,1
go away u mad corny wat fuck you pussy,1
http ihatejade com id s04t0k8djbpnf8wo9bzvf566wo4vh9 huh wtf is that site but fuckit who the fuck care hahaha lol,1
http www formspring me KUKLUXKLANOWNZ YELL AT THIS NIGGUH AND PASS THE LINK ON wat who are you maybe i will,1
omg have you seen the pictures of u on emogasm com lol hahahaha that a big lie,1
whens the last time you jacked off haha i dont do that haha,1
wuhhddup wit ur wannna be gangbangin white boy look hahaha straight up lame haha i aint a whit boy you bitch as nigga im mexican amp proud of it so get your fact Straight amp why you a bitch to tell me who you are just a loser as nigga get a life dude,1
your top 5 ugliest people ive ever seen hahaha your funny you cant even see my top friends amp i dont have a top five anyways,1
austins new girllfriend is not uglly amp amp she is way way better than your nasty asss willll ever be Ha evven youur so callled bestfriend quot katellyn quot aggress that kristens pretty tighht i never said she was me amp her are good now amp okay thats your opinion amp yeahh ha cause ill believe someone i dont know,1
brittany is from MAYODAN abbie aint from ellisboro either dumbass and the lst 2 aintchur girls they dont evn lik u I was naming people who live out in that area ha yeahh okayy I really don t care what some bitch thinks about me,1
damnn jordan youh got some HATERSS step on nem bitchess aha i love youhh hahahaha I love you abzilla killa 3 and he ll yeahh fuckk the bullshitt,1
Does Austin have a big or small dick why dont you ask him yourself,1
Excuse me but whoever the fuck that is under me can shut their fucking mouth you don apos t tell someone to go kill themselves motherfucker you go kill your self seeing as you have nothing better to do then lurk her formspring hahaha i love youuu,1
ha all the bitches talk bout austin is just jealous ha cuz austin got some and they can apos t ha i laugh at the like really they aint got anything better to talk about but austin haha dumb bitches i swear its funny hahahahaha GET A LIFE PEOPLE THANK YOU i love you rhiannon 3,1
haha ewie your ugly nasty ass bitch you wishhh ugly fuckkk,1
How many times did you and that douche have sex excusee me,1
jordan leigh baby girl no matter what happens in life you are always and forever my best friend awww your always gonna be my BESTFRIEND i love you so much allykinpoonanners 3 without you i would of been dead by now you helped me so much your like my sister i love you 3 fuck shady tricks,1
that stupid bitch amber that went to our school tries to act like she ran our fucking school we should put that bitchx back in her fucking place hahaha she deff didnt run our school amp never will,1
wow you fucked austin when he hadda girll haha and if you seriously think that people are jealous because you did you are fuckin dumb as hell because im pretty sure that austin would fuck anything that moves so don apos t feel to special my dearr amp that apos s hahahahahaha I just laugh cause you don t know nothing if you wanna fuckk him go for it sweetheart amp I didn t know he had one ha,1
your a dumb cunt and you think your big shitt when you arent even the dirt under my feet your a piece of shit actualllyy your phsycotic too ha what a winner go kill yourself hahahhahaha thanks darlin amp no thanks,1
quot DAMN GIRL COVER UP UR DAMN ASS BOOBIES quot lmfaoo xD WOW TOO BAD YOU DON apos T too bad i dont what,1
1 Do me a favor and get off maa shitt r thank you r 2 I dont know who tthaa fuhkk you are haha bitch smd stupid skank and learn how to spell proper grammer lmaoo,1
2 weeks WOW i totally change my mind thats like sooooo long im sorry i ever said anything NOT your too young for makeup especially the amount you were hehe coming from some pussy that doesnt even put their name pathetic much,1
actually i dont have a fromspring account and yea i apos ll say my name im never going to see your little pathetic self again daniela happy are you going to stop looking like a hoe daniela what,1
are you a virgin of course stranger,1
ask me some questions lmao roney get out of here,1
because you apos re stupid Why the fuck would you ask me something if your Ganna answer for you dumbass But thaks for your quot timeeeee quot 3,1
bitch get one thing straight toney well never go out ur pretty but ur such a bitch on the inside sorry but i dont like you no one does the only reson people are nice to u is cause of ur sister so stop thinking ur hot shit and be urself im always myself and dont worry about my relationships they re definitely none of your business im only a bitch if you deserve for me to be one which im sure YOU do,1
bro are you kidding me stop talking already fuck then stop writing on my formspring you dipshit r formspring is to ask questionssssssss r r r dumb bitchhh,1
damn all these ppl hatin and shit on my baby Laura ily babe 33,1
DAMN GIRL COVER UP UR DAMN ASS BOOBIES,1
Did you hangout with moises today because i saw his status and it said your name and if you did how do you even know him like your in 7th grade for crying out loud yes i did and dont worry about it,1
do u like kasey conde as a friend haha deff not stupid skankkk,1
Guess who thisss is r I am not fakee AT ALL r Rachel and Stephhh r Are one of the best sisters r In thaa WORLD r I apos m begging you r HOP OFF r I don apos t even knoww you r We never had a damn conversation r Go find something better to do with yourself get a life,1
hey laura sup its mike 0 yoooo nigglett,1
hey you horny,1
hi no offence but i kinda think ur a slut and i dont wanna talk shit but ru be honest haha no im not i love how ppl talk so much shit ive had three boyfrineds the past two years and im talking to someone right noww,1
hop off porch monkey she mine haha yes baby i remember,1
how old r u ur soooo cute and cool NAWTTTTTTTT your a ugly little slut i bett ur gonna have a baby by the time u turn 13 you think its all cute to be on every guy its not everyone just thinks ur annoying act ur age really bitch r grow the fuck up and why dont quot you act your age quot r why the fuck do you actually take your time writing this shit if i obviously DONT GIVE A SHIT WHAT YOU THINKKK bt dubbs i am 13 you fucking dumbass r and quot SLUT quot really r wow how more pathetic and imature can you get r AGAIN r GROW UP,1
http tinyurl com yjd9bj5 index php id 7ac8d181c8c3121ebc1b18186124b8b8 gayy,1
http www e castig com index php r G1x72 gayyyyy,1
i agreee stop being such a slut and act ur age your pathetic get a life you dont know me suck a dick r r PEACE BITCH r LAURA 3,1
I don apos t like you ugly ass hoe I bet your LESBAIN You look like it I bet when you older I apos ll see you in a anonymous porn ad BTW I heard you stuff your bra Hahahhaaaa No boobs r omggggz how d you know i stuff it with toilet paper and everything just like the movies stop hating and get something better to do and yeah if you re a girl watch out i might be after you nahhhhhht,1
i fucked anthony u dumb hoe bitch and just to tell u im hesica haha false,1
i jizz to your pics alllllll the time r r not creepy at all,1
i love how most of ur comments are calling you a hoe slut bitch and guess wat u are one lol lol yeah deff get a lifee,1
I love Laura And yeah she woped your ass fuck face v love you too kiddo and thankss,1
i squirt sperm to your pictures umm r cool,1
i want a blow job alright,1
i would watch out for rachel just sayinnnnn apos she is a fake person mk cool,1
If you think i care about what you think of me then you apos ve highly over estimated my opinion of you bitch haha your such a cutie r nahttt,1
iloveeyouu Mhmmm,1
Is it ok if I apos ve jizzed to pics of you before lol,1
Just admit ur a lesbian drug addict who flirts with guys it apos s okay go find something better to do with your lifee hopp off and stfu cuz you dont know me mkayy,1
knock a bitch out and fight not i stay outta dramaaa,1
laura my love dont listen to the pathetic little bitches that wish and hope they were you you are wonderful and beautiful and smart and all the shit talkers are just little pussys because i bet they would never say that stuff to your face p s iloveyou haha aw i love you too 333333,1
Leave Kasey alone she apos s a hell of a lot nicer than you so why don apos t YOU shut yo damn mouf Yes i on purposely spelled those word apos s wrong no need to correct me hah what the fuck are you ganna do r shows how much you know your such a fucking pussy that you dont even put your name,1
Lmao laura your pathetic you mean moises hung out with your sister and her friends not you cause why would moises want to hangout with a little incoming 8th grader So stick to your 8th grade friends sweetie OKay thanks bye no not really you werent there r and nah thanks for the opportunity,1
lmao taylor ur guna hit someone ur a soft bitch so stfu lol anyone can woop ur ass stfu stfu your so imaturee,1
lmao you cant spell at all becuz fuking wrry thanx what the hell you write like a 4th grader they aren apos t worrying about you vvv they apos re just letting you know that your not cool by following and trying to hang out with people older than you mkay your mature,1
lmaoo nice one laura and u gorgeousss and yah elizabeth needs to get a life and stop talking shit and oyahh hm what happen with u and jhocelyn udk how much i hate that bitch haha yeah thanks and jhocelyn idk whats going down ppl are just tlking shit saying that im ganna fight her,1
Lmfao how can that person say southwood isn apos t gay Southwood is the main school that has thee most unwanted retarded unreasonable drama by the most stupidest people of life and nobody likes it word,1
lol its funnyyy howww its alll pusssys dowwn there who wontt put there user info xD there trying to likeeee geet you all pised off and tryy to act tough and theeey wont eveen put theree nameee and there callingg you immature LMAOOO lmao i noe haha,1
lol r u a lesbian real talk be honest everyone says it lmaoooo its ok if u r thats hot that legit gross,1
love you hoee its daniela lenis 33,1
no im serious you wear too much makeup you should calm it down how funny i havnt worn makeup for almost two weeks,1
oh well aren apos t you just the shiiit for hanging out with older people get friends your own age you dumb bitch stfu i doo and dont wrry bout mee,1
ok really you put stupid skank smd or haha for your comebacks get some new ones your just embrassing yourselfr elizabeth u062a rodriguez i love how your so fucking two faced man you say hi to me every day what the fuck is your problem man you know what heres a new comeback for you hop off my dick bitch and go comb the hairs on your mole you fucking two faced bitch like all your lil friends thanks for your time bitch 3,1
r u horny lol seriously wtffff get a life,1
Racooonn stayy off maaa shitt please smd,1
really you actually think he would waste his time talking to you his 16 and a sophomore now why would he want to be friends with a 13 year old girl going to 8th grade especially since your one ugly hoe So next time be careful in what you write and againnn dumb hoe,1
soo you thougt i was cute but now you hate me and dont talk to me fuck you Can t please everyone,1
stop saying you apos re gonna do something about it if she flirts with guys because im pretty sure camila and i would whoop your ass if you try touching laura all of you little girls need to grow the fuck up you apos ll learn that being a bitch isn apos t that cool thanks julie 3r i love you,1
Thanks for your time to bitch I swear I would ughhhh elizabeth u062a rodriguez wtf does ughhhhh meann your a dumbass,1
u can be a b sometimes and kinda stuck up and 4 some reason ppl like u like some1 but im not gonna say theyre name c g let me guess i dont really give a fuck what you think cuz you dont know me and im only a bitch to you cuz i either have a problem with you or your just annoyingg,1
u know if u wernt such a whore bitch people wouldnt be haten on u so stop calling people fat stop telling them there stupid and stop fucking calling me emo and well all be cool okay fatass bitchh,1
u r such a conseded biatch u sure every body likes u u luv puting every body down and u tlk about ppl and when some body else dose it u make dem feel bad get a life wait im srry how old are you r GROW UPPP r i dont care if ppl like me or not find something better to doo instead of tlking shit on my formspring why the fuck would i care about what some little pussy sayysss PATHETICCCCC,1
u think ur hot shit your a fucking dumb little jit whore who hooks up with everybody stop trying to grow up so fast your going to 8th haha haha i love how you fake bitches call me a whore when i have had the same boyfriend for 2months and 11days but then again you know my whole life,1
u told austin that u were never alex apos s friend but then u tell alex the opposite whats going on here and who are u lying to wtf i never lied i told austin that alex can be a bitch to sofia and that she gives me death staress thats alll,1
whatss up with people hatingg on you jit you better not be fighting anyone that apos s trashy and stupid lauraaa but you know i always got your back and you dont have an ugly body so stop agreeeing with them dumbass i love you Hah love you bAby gurlll 33,1
WHORE tyler 33,1
why are you calling kasey a stupid skank when you dont even know her laura that is just going to start some shitr wtf yo stfu man stay out of it,1
why are you friends with that hoe ass bitch daniela why do you care soo much hater,1
would u ever give me a blowjob and would u ever drink my sperm becuase i really want you too i wanna have sex with you so much its not even funny how hard i get over u thats not weird at all,1
Would u go out with an 8th grader named collin stewart nah i dont think so,1
wtf is up wit ur cheeks chipmunk much does it bother you r hah ligaf,1
You are a beautiful girl and i dont think that you shoul do all the things that you do cause you are fucking up your life Sorry to say but you should to better with your life then just throw it away and what am i doing thats so bad,1
you can suck the dick bitch dont try me little girl dany shut the fuck upppp BITCH r r your pathetic so why dont you stop writing on my formspring and get a lyf cuz you have nothing good to say that i give a fuck abouttt,1
You look gay your face looks gay,1
You apos re A Porch Monkey and your a niglett p,1
you apos re not cool suck my dick srry your too hardcore for me,1
your boyfriend is only ugly ass mexican like I apos ll give you props for going out with a junior but he just flat out ugly so try going for guys your grade or something cause all you have now is a pothead and by the looks of it your heading in the same road yo stfu r thats your opinion thats he s ugly not mine r and hes not a pothead so get your shit straight,1
your in 7th grade stop trying to grow up so fast its not cute you apos ll grow up at your own pace stfu you obviously dont know me i dnt try to grow up to fast just becuz i chill with older ppl,1
Your only in middle school why would going out with 10th amp 11th high school guys seem like a good idea to you or anyone in your grade and age group actually it just doesn apos t make sense how that would even work anyways im sorry i cant please everybodyr,1
YOURR SUCHH A SLUUTTT ya tu sabes,1
i c aussies are starting to get smarter now adayz lmao lmao woooow u hater thats ok cause i have nothing but love to throw around lol,1
bastard is term of endearment yeh i know that lmao,1
chilling u homo o 2500msg jezz u are a nerd lmao p lmao hmm all those lost times who u calling a nerd havent been on here for the longest time wea u been hiding nerd thats right you been geeking lol,1
CONTINUED She barged in the girl was sitting next to me Next thing I knew the girl was apos floating apos in the air beside me lmbo Emily had grabbed her by the hair and totally pulled her out of her seat lol CONTINUE wat the hell she cant fite for shizzle lol,1
do you hate me or love me i love to hate you lmao,1
Do you honestly think you can talk more siht than I can notalking shit your good at i like to base the facts P,1
fine ur the only geek happy now yes i am thank you,1
Has anyone ever told you that you are more full of siht than a Christmas turkey yes you just then thank you gabe,1
hater is bck in my page lol slap n tickle comment,1
Have you ever heard of a rug muncher I was just wonder lol can you tell me what it is i herd one thing it might be but not sure and ill post on yours lol,1
hey sugar tits wanna meet at night i apos ll be racing my evo metallic blue with white stripe on top i got tinted front windows too look for me wash ur mouth out with soap and approach me properly,1
How many people have you slept with omg babe u dork no comment,1
i didnt workout again today im just gonna redo the whole weekr omg you better not be moody for real cause ill like slap you through the screen lol,1
i dnt want ur wack contacts p and i aint spaming no one i aint that uch of a geeko lmfao shup fool i saw u right on top of me lol homo and spam u egg,1
I has fallen for Mr Flinstone aww so sad coz he dont like u he dates gurls with a personality and an identity hmm hope u didnt hurt urself we u fell D,1
i wish they all can be australian girls wish who wea what fill me in,1
I apos m going to poke your eyeballs out Do you want to know why Too bad I apos m not telling you P LMAO u need anger management classes my lady D i tell u that err night u go to pick up a shoe throw rocks and pots and pans LMAO hides u violent lol,1
idk why i asked that last question anon lol cause ur a geek lol,1
Is your little sister retarted or what lmao i dont know u talk to her and u know she is lmao,1
lmao uhh ok but mess up and ull wake up one day with a patch lmafo wow u touch my hair ull die for sure lmao and oud have to get me soooper tired or drunk to be able to touch my hair to begin with lol,1
no i think coolio is a rapper so you couldn apos t have made it up and u cant steal ours quot hella quot and quot hecka quot didnt say i made it up dork i said thats what i say,1
NO you apos re the fool lol nah ahh she asked i answerd holy,1
Oh yeah I apos did apos know Emily The two of us were in our schools band Her voice annoyed me it apos s annoyingly apos high apos Oh and tell me why apos d you nearly knock her out Lol I apos ll tell you a story about something like that to do with her lol lmfaooooooo,1
OH THANK YOU PPL YES I ALWAYS DID THINK MY COUSIN WAS A WHORE NO OFFENSE TO HER but thank you for clarifying that she is easier than a game of XandO apos s and yes 479 as of lastnight is the number aww ahh i didnt get that question what one was that,1
ok let me get this straight so you are saying that your boyfriend is asian aha not chikety chIna chinese chicken,1
Ouch O o You just got buttfucked slappppppppped and you just been pimped slapped,1
since your an aussie do you rope walabies in your free time well im NOT aussie i just live here and no i dont lol,1
so you and mr big forehead are dating now huh yes whats it to you,1
there sweet and delicioso i had to climd the tree though i was drunk again too lmao omg drink driving and txtn you dork ima slap you lol,1
There was this girl who I was kind of apos friends apos with who didn apos t like Emily so was spreading some rumours about her Said she was really a man lmbo Anyway Emily heard that it was this girl and barged into our class one day CONTINUE lol she is a man sings like one to P,1
ummm weres ma sattle at i think i left it in ur room lastnight momz need it back hehe lmao WTF u dork lmao hands it bak you said u brought that hahaha,1
wait delete that q about arrest why ill let it linger,1
What is rasis R they calling u a raisin yes they are,1
whats one thing you strongly about a male and about a female dis like ok im just going to go with dis like maybe shadyness trying to be a player Chikies maybe their bitchy cattyness,1
where did u come up with the name moo for him yeh a spazz of a moment lol,1
why would some one love u i dont know but when i find out ill let u know,1
WUT SZ R U TITS big enought to be big small enhough to be small D,1
WUT UP MRS F WanNA fUk WAT UP ANON AHHH MMMM EHHHHH LOL NO I DONT SLEEP WITH PPL I DONT KNOW SORI,1
Yea FS is fucking retarded i hate this tell clarissa i tryed and it just keeps saying process error,1
yo sexy how asian are you you tight girl YES IM ASIAN ROLLS EYES,1
yo wow u betah talk to me right now cause this shit aint funny no more wtf is going on,1
you call gmac moo yes i do he calls me that to D,1
Answer your questions biatchh L Alrightt Alrightt Hahaaa,1
Aree Youu Gaayy x Ummm I Think Not,1
Did you know that i think your gay,1
Did you know that you remind me of an old man Oncee Again Nopee I Did Not Butt Like i Said Thanks For Imforming Me,1
Did you know you are a male anagram of hitler Whats That Hahaaa,1
Did you know you smell like an old man Ummm Nopee I Didntt Butt Thankss For Informing Me,1
Do u sniff poo Most Defently Not x,1
Fanny or dick Willly,1
Hello bumcrack boobyhead Suk my willy No Thanks,1
Hey my names harry beaver Umm Okayy Thennn,1
I think your gay sorry Umm Okayy,1
I wouldn   t say being gay was cool L Ummm I Would,1
I wrote one moree L you didnt slap me you fanny Huh,1
May be good at anal you never know Hey stop bullying him just because he gets his trainers from ASDA My mum shops there O and as for the dad he just shops in poundland Your gay Hahaaa Shuttupp Lauraaa Youur Thee Gayy Onee,1
stop acting like you know everything your fat get over yourself you mouthy slag L and no your not better then everyone else Errmm Tbh couldnt Give A Flying Fuck What Youu Got To Say Andd Yess Okay Im Fat Andd Get Some Bricks And Build A Bridge And Get Over It Chickken Ha,1
ur ugly and common Ohhh Thanks Means Alot 3,1
why are you so gay Because I Think It Cool,1
why are you soo dumb L Immm Nott Tbh I Dont Thinkk I Amm Justt Get Things A Lil Late,1
why are you soo fat L Well done for stating the obvious Now why Are Youu Soo Ugly L,1
why are yousoo dumb Imm Not Well I Dont Mean It x,1
You HAVE to and MUST answer this would you rather drink 10 year out of date milk or lick a camels foreskin then give matt wilson head Ermm I Think I Would Rather Go For The Secound Option Hahaa,1
Youu need to answer your questions you gay I Amm I Amm,1
ccccr no hahah ur lame,1
do you wanna die,1
all those people are lying you   re not cute VV You re right I are sexy beast,1
Am not Youz a hoe amp a baybay im nawt a hoe ur a weenie,1
ass face Y,1
Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo shuddup,1
Calm down Calm down don   t get a big dick Don t talk shit about Total,1
dang i   m not rollin thaat kind of cash but a question what   s something crazy you want to do before you die have a 3some with two hot japanese women,1
Dick face what if dicks had faces,1
DID YOU JUST FUCKING SAY MY NAME No I believe I TYPED the name Billy,1
do YOU wanna die I ll kick you in the nutts and run biatch,1
does your dick have a name hah It has many names Most of the time I call it big victor Pleasure and even Dakotah,1
f u http www youtube com watch v w RaPOOVX1Y amp feature related,1
fffff uuuu lets go to the fair,1
filthy mexican where,1
fu bawls,1
fuck yo shit homie i will not fuck any shit thank you,1
fuckin hate your ass fuckin love your ass,1
gooooooooooooooooooooood i m gonna cut myself,1
hahah man gigglez i think it was kinda girly soooo ur a gay man,1
hehehehe shuddup fool i ll beat you up,1
Hey suck it hoe Why are you so cruel,1
hey i call you a   baby   you re a baby,1
hokay well i just giggled at something my friend said then giggled when i read your info lawlz what kind of man gigglez,1
http www ihateyounatalie com id 2144858 im not falling for that one again,1
I am NOT a baby you jerk off hahahah jerkoff xD but yess yesss u are,1
I do too know you like that motherfucker k,1
I saw you with some hawt peice of beef in math class the other day He wears blue a lot and always wears a brown jacket Tasty That mutha fucka is one hawt piece of ass,1
I see You see nothing foolish child,1
I   m only 2 months younger than you BAAAAYBEEEE,1
i   m sorry r cr r r r ihateyou iloveme,1
I   ve been asked that question like 13 times shuddup fool,1
If you won a million dollars what would you do with it ur mom,1
im a girl make me a sandwich,1
im okay ty wubu2 just been hanging out with the friends,1
like who like DaKoTaH WhORe 3,1
massage my back and feed me grapes bitch Yes master,1
my nigga that offends me hahaha jkr it ends in a vowel ahh funk me sideways theres tons of people that have names that end in vowels,1
naw fuk you take a myspace picture with me and I ll sign it,1
nawh man i hate you i have oreos p,1
NIGGERS NIGGERS NIGGERS BALLS BALLS TITTIES DICK SUCKING FAGGOT SHIT NIGGER ASSFUCK TITTIES FUCK NIGGERS That s horrible,1
niggers dude,1
nosy people Hahah it s all good That s what this thing is for right,1
Not even MY sweater naaah fool i gave u ur sweater ni69z,1
not even michaela michaela isnt shit,1
nothing ahaha baaah ur lameskeez fool,1
nudes or gtfo Taking some right now,1
PRANK CALL THIS PERSON THERE NAME IS MELODY 614 735 8024 their,1
r u gay for you,1
shut up mexican yes master,1
so victor i want to go tree climbing got any tips ehhhhhhhhhhhhhhhhhhhhhhhhhhh get it lul Don t climb it nigger,1
Stop stealing my man Hey he came on to me,1
The beach is fucking shit you   re my daddy and soccer is for faggots Yes Yes No,1
THEY   RE BE DOUCHEBAGS SHOVE A PENIS DOWN THEIR THROAT,1
u gay I wear a rubber at all times it s a necessity,1
who asks people if they know me why do i see it all the time who is it that cares you have a fan d00d Can you sign my bewbs,1
Why are you in mexico bitch I m not I m in Miami bitch Just kidding I m visiting my dad hopefully i ll see my mom,1
why dont you tell me you love me when you do me why dont u last longer,1
why is ur butt so big it is i had no idea ur being sarcastic,1
XoxoAshleyxo and I are okay now though No more threats so your back up will not be needed alright playa Love and hot chix is what makes the world go round,1
Yeah and thanks for having my back the next time someone tells me their going to kill me honestly no one in my life has ever told me that until yesterday by XoXoAshleyXo she wants me,1
yeah Alright let me find someone who wants to fight,1
yeee 119 questions to date awesummm fuck yew,1
You are such a faggot for going to EDC god damn it Almost as much of a bitch as Thad but no where near Zach at least but i love you,1
YOU ARE Get back muhfucka ya dun know me like that,1
You don   t have a big butt NI69AZ They   re lying to you damn sluttz,1
You only like baby girls you pedophile you re one of my baby girls,1
You suck dick You suck face,1
You suck V4G aww thanks,1
you   re a babbyy you wanna throw down ese,1
YOU   RE RETARDED NEVER MIND k,1
You   re so gay Da funk is your problem homie,1
Your picture looks shopped I told your monitor to punch you in the face like,1
And you are no virgin LIES LIES YES I AM Wtf,1
are you a virgin Do you think I am,1
ashleys a nice girl dont mess with her ya weirdos Thankies love,1
colton wants his blowjob Ahahahahahaha I m sure D,1
did u play gabe Wow I m not even answering this with a legit response Mind your own business thanks,1
do u like sex Uh I m a virgin o,1
do you like pussy,1
Do you randomly get raped during math class lol Yes Yes I freaking do D,1
fuck a nigger WOAHMAN NOT COOL,1
Get on yo knees for meh 3 NEVAH,1
haha i heard the wendy   s chili is made from hamburger thats left on the grill when they finish cooking and they scrape it off Yeah SO YOUR POINT D,1
HEY BETCH wanna not be a lil slut amp please oh lordy STOP CUTTIN EYES AT ME r cus she want me dead Daz kyute and all but I TAKE A BATH RIGHT NAO From the front from the back from the uh side to side FROM EVERYWHERE D,1
Hi my name is Andrew and I want to fuck your brains out you hoe O O Woah woah That s nice,1
how many dicks fit in your vagina I ve never even tried one so,1
I don   t wanna fucking get anything in with her Why do you have so much beef with me seriously I don   t even like beef Preferably chicken but hey Your kinda pissin me off dude Hop off my dick x I love youuu,1
i want you dead So how s the weather c,1
If an energetic midget sloth decided to steal your ipod and pee on it while you were sleeping what would you do when you woke up I d keep it as a pet and name is R Kelley,1
im the 200th question bitchs xDD WOOOOT Scoreee My formspring was brutally raped today,1
Is it true you kissed that ugly Cody kid Which one,1
jeez how many guys do you like One o o Dumbass,1
jerrrk Iloveyou,1
lalalalaaaa this is not a question O It really isn t WHAT IS THIS BULLSHIT D,1
likee dick O Neeeever,1
oh so i   m not cool enough to be on your top ten WE NEVAR TALK ANYMOAR D,1
On a 1 to 10 how mad would you be at me if I were to rape you Depends on who you are,1
Slut r insert winky face here,1
So from stalking you I   ve come to realize that you would only date one girl and her name is Mika IM SORRY WHATNOWW after all the love and devotion i   ve given you we are THROUGH Oh ohno PLEASE PLEASE DON T DO THIS TO ME,1
So would you rather fuck suck touch my dick if its all of the above lets go out Uh let s not 3,1
What lip did u get pierced O o Dominic You re An Asshole 3,1
What would you do if i had sex with your leg o o I would love it,1
Who ya in love with Someone who most likely isn t you,1
Whos   s Bush are you Sniffing in this Pic Uh what O O,1
why so mean to ree Who s ree o o,1
Why would you hurt him like that That   s uncool Mean to who,1
will you blow me now Screwyou,1
will you blow me Ew no,1
wtf you got 2 b the freakiest bitch LMAOOOO Thanks c,1
y is the sky blue The sky is blue because of your mom,1
You remind me of dick YAYYYY 3,1
are you a virgin no comment,1
ask me a question okay you rape mine i ll rape yours haha,1
caan you go get me some maccas Go get it yourself lazy bum,1
Do you want me to cave in quot curly tops quot head Bahaha omg yes please,1
fuck me fuck yourself,1
I   m finished wanking hahaha so whats your favourite car LOL WHO IS THIS P and lol i d like a hummer bahaha,1
ihatesimoa jks hru 3 i hate you too lol jokes and not much you,1
ilovesimoa 3 iloveyourpenis,1
okay the raping will begin in 3 2 1 haha thanks rigel,1
Sex sex sex spam spam spam D haha aw iloveyou pieface,1
suck me fucker hahahahahahhahha yeah yeah like that yeah OH OH OH SIMOA rigelATTEMPTS oh gosh lol,1
You an your sexy cookiegina are at the top of the food cahin babehh D no you are D ilysm 3,1
do you own a vibrating toy It s big and pink and fluffy haha,1
Do you prefer hugs or kisses Hmmm I think hugs I love hugs Especially from the behind when someone wraps their arms aroung you 3333 There is someone in work who ALWAYS does it and it makes me melt I obviously like kisses too hmmm can I say both D Be greedy D,1
Do you stroke your pussyr r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r CAT I think there needs to be some age ratings on these questions Who s with me,1
Have you ever stolen anything from a store or from someone I have stolen things from stores when I was younger It was like material things eg a bra a ring a necklace lol Not much though don t go handing me over to the authorities please pleasssssssssssssse D,1
IT MEANS NOTHING TO ME ANYMORE BECAUSE THE PERSON WHO I SHED TALKED WITH IS BEING A C U N T LIKE NORMAL I SUPPOSE WHAT HAPPENED TO THE PERSON IN THE SHED AY AY AY I think you and Rosie need to sort this out or I think you and Louise need to sort this out Without the use of these questions,1
rosie is a twat isn   t she I dont agree,1
Sleepin around is for whores LOL Exactlyyyyyy So can you guess what Im not XD,1
Spit or swallow Next question,1
who would you never want to meet Hmmm can I say re meet the girl who bullied me at school Because it would result in name calling lol,1
your a dirty bitch int ya Im neither dirty or a bitch thank you Im actually rather innocent if I think about it,1
